"Scientific_Name";"Duration";"Active_Growth_Period";"Foliage_Color";"pH_Min";"pH_Max";"Precip_Min";"Precip_Max";"Shade_Tolerance";"Temp_Min_F"
"Maclura pomifera";"Perennial";"Spring and Summer";"Green";4,5;7,5;24;40;"Intolerant";-23
"Madia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Madia sativa";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Magnolia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Magnolia acuminata";"Perennial";"Spring and Summer";"Green";5,2;7;35;60;"Intermediate";-16
"Magnolia grandiflora";"Perennial";"Spring and Summer";"Green";4,5;6,5;35;60;"Tolerant";7
"Magnolia macrophylla";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Magnolia tripetala";"Perennial";"Spring";"Green";5;7,5;40;60;"Tolerant";-3
"Magnolia virginiana";"Perennial";"Spring and Summer";"Dark Green";5;6,9;40;80;"Intermediate";17
"Mahonia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mahonia bealei";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Maianthemum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Maianthemum canadense";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Maianthemum racemosum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Maianthemum racemosum ssp. racemosum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Maianthemum stellatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malaxis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Malaxis unifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Malus angustifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malus angustifolia var. angustifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malus coronaria";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malus ×platycarpa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malus pumila";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malus toringo";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malva";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Malva moschata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malva neglecta";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malva parviflora";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malva pusilla";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malva sylvestris";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Malva verticillata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Manfreda";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Manfreda virginica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Marrubium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Marrubium vulgare";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Marshallia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Marshallia grandiflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Marsilea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Marsilea quadrifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Matelea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Matelea carolinensis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Matelea decipiens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Matelea gonocarpos";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Matelea obliqua";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Matricaria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Matricaria discoidea";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Matricaria recutita";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Matteuccia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Matteuccia struthiopteris";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Maurandella";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Maurandella antirrhiniflora";"Perennial";"Spring";"Green";6,8;9;8;18;"Intolerant";-8
"Mazus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mazus pumilus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Mecardonia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mecardonia acuminata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mecardonia acuminata var. acuminata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Medeola";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Medeola virginiana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Medicago";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Medicago heldreichii";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Medicago lupulina";"Annual, Perennial";"Fall, Winter and Spring";"Dark Green";5,5;8;13;60;"Intolerant";23
"Medicago minima";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Medicago monspeliaca";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Medicago orbicularis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Medicago sativa";"Annual, Perennial";"Spring, Summer, Fall";"Green";6;8,5;12;65;"Intolerant";-43
"Medicago sativa ssp. falcata";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Medicago sativa ssp. sativa";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Medicago scutellata";"Annual";"Fall, Winter and Spring";"Dark Green";5,9;7,5;18;50;"Intolerant";32
"Melampodium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Melampodium sericeum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Melampyrum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Melampyrum lineare";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Melampyrum lineare var. latifolium";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Melampyrum lineare var. lineare";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Melampyrum lineare var. pectinatum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Melica";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Melica mutica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Melica nitens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Melilotus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Melilotus officinalis";"Annual, Biennial, Perennial";"Spring and Summer";"Green";6,5;8,2;17;65;"Intolerant";-38
"Melinis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Melinis repens";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Melissa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Melissa officinalis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Melochia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Melochia corchorifolia";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Melothria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Melothria pendula";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Melothria pendula var. pendula";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Menispermum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Menispermum canadense";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mentha";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mentha aquatica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mentha arvensis";"Perennial";"Spring";"Green";5;7;20;50;"Intermediate";-33
"Mentha ×gracilis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mentha ×piperita";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mentha pulegium";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mentha ×rotundifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mentha spicata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Menyanthes";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Menyanthes trifoliata";"Perennial";"Spring and Summer";"Green";4,8;6,5;12;55;"Intermediate";-33
"Menziesia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Menziesia pilosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mercurialis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mercurialis annua";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Mertensia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mertensia virginica";"Perennial";"Spring";"Green";4,5;8;26;54;"Tolerant";-28
"Micranthemum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Micranthemum micranthemoides";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Microstegium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microstegium vimineum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Microthlaspi";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microthlaspi perfoliatum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Mikania";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mikania scandens";"Perennial";"Summer";"Green";5,7;8,7;30;60;"Tolerant";-38
"Milium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Milium effusum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Milium effusum var. cisatlanticum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mimosa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mimosa pudica";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mimosa pudica var. pudica";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mimulus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mimulus alatus";"Perennial";"Spring";"Green";6,2;7,8;24;60;"Tolerant";-23
"Mimulus ringens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mimulus ringens var. ringens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Minuartia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Minuartia caroliniana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Minuartia glabra";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Minuartia michauxii";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Minuartia michauxii var. michauxii";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mirabilis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mirabilis jalapa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mirabilis nyctaginea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Miscanthus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Miscanthus sinensis";"Perennial";"Spring and Summer";"Green";4,6;7,5;24;55;"Intolerant";-18
"Mitchella";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mitchella repens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mitella";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mitella diphylla";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Modiola";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Modiola caroliniana";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Moehringia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Moehringia lateriflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Moenchia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Moenchia erecta";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Mollugo";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Mollugo gracillima";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mollugo nudicaulis";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Mollugo verticillata";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Monarda";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Monarda clinopodia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monarda didyma";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monarda fistulosa";"Perennial";"Spring";"Gray-Green";6;8;20;60;"Intermediate";-32
"Monarda fistulosa ssp. fistulosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monarda fistulosa ssp. fistulosa var. fistulosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monarda fistulosa ssp. fistulosa var. mollis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monarda media";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monarda punctata";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monarda punctata ssp. punctata";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monarda punctata ssp. punctata var. punctata";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monotropa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Monotropa hypopithys";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monotropa uniflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Monotropsis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Monotropsis odorata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Montia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Montia linearis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Morella";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Morella caroliniensis";"Perennial";"Spring";"Dark Green";4,5;7;44;60;"Tolerant";-13
"Morella cerifera";"Perennial";"Spring and Summer";"Green";5,4;9,1;34;60;"Intolerant";-3
"Morella pensylvanica";"Perennial";"Spring";"Green";5,5;7,8;32;65;"Intolerant";-28
"Morus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Morus alba";"Perennial";"Spring and Summer";"Green";5;7;30;60;"Intermediate";-18
"Morus rubra";"Perennial";"Spring and Summer";"Green";5;7;35;60;"Tolerant";-33
"Morus rubra var. rubra";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Muhlenbergia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Muhlenbergia asperifolia";"Perennial";"Spring, Summer, Fall";"Yellow-Green";6;8,4;12;40;"Tolerant";-18
"Muhlenbergia bushii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Muhlenbergia capillaris";"Perennial";"Spring and Summer";"Yellow-Green";5,8;6,8;30;90;"Intolerant";7
"Muhlenbergia frondosa";"Perennial";"Spring, Summer, Fall";"Green";5,9;7,9;36;50;"Tolerant";-38
"Muhlenbergia glabriflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Muhlenbergia glomerata";"Perennial";"Spring, Summer, Fall";"Green";5,3;7,5;30;50;"Intermediate";-33
"Muhlenbergia mexicana";"Perennial";"Spring, Summer, Fall";"Green";5,5;7,5;20;50;"Intermediate";-33
"Muhlenbergia schreberi";"Perennial";"Spring";"Green";4,5;7,5;26;55;"Tolerant";-33
"Muhlenbergia sobolifera";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Muhlenbergia sylvatica";"Perennial";"Spring, Summer, Fall";"Green";5,9;7,5;28;45;"Intermediate";-28
"Muhlenbergia tenuiflora";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Muhlenbergia torreyana";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Muhlenbergia uniflora";"Perennial";"Spring and Summer";"Green";4,8;6,8;35;60;"Intolerant";-33
"Murdannia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Murdannia keisak";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Muscari";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Muscari botryoides";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Muscari neglectum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myosotis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Myosotis arvensis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Myosotis discolor";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myosotis laxa";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myosotis macrosperma";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Myosotis scorpioides";"Perennial";"Spring and Summer";"Green";5,5;7,5;24;55;"Intermediate";-33
"Myosotis stricta";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Myosotis verna";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myosoton";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Myosoton aquaticum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myriophyllum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Myriophyllum aquaticum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myriophyllum heterophyllum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myriophyllum humile";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myriophyllum sibiricum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myriophyllum spicatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myriophyllum tenellum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Myriophyllum verticillatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Najas";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Najas flexilis";"Annual";"Spring, Summer, Fall";"Green";6,5;7,5;NA;NA;"Intermediate";47
"Najas gracillima";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Najas guadalupensis";"Annual";"Summer";"Gray-Green";5,2;9,6;NA;NA;"Intolerant";-36
"Najas guadalupensis ssp. guadalupensis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Nama";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nama hispidum";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Narcissus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Narcissus ×incomparabilis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Narcissus jonquilla";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Narcissus ×medioluteus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Narcissus poeticus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Narcissus pseudonarcissus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nasturtium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nasturtium officinale";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nelumbo";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nelumbo lutea";"Perennial";"Summer";"Green";4,6;8,7;NA;NA;"Intolerant";-36
"Nelumbo nucifera";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nemophila";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nemophila aphylla";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Neobeckia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Neobeckia aquatica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nepeta";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nepeta cataria";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nicandra";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nicandra physalodes";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Nicotiana";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nicotiana alata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nicotiana glauca";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nicotiana longiflora";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nicotiana obtusifolia";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nicotiana obtusifolia var. obtusifolia";"Annual, Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nicotiana plumbaginifolia";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Nicotiana tabacum";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nigella";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nigella damascena";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Nuphar";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nuphar lutea";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nuphar lutea ssp. advena";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nuphar lutea ssp. variegata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nuttallanthus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nuttallanthus canadensis";"Annual, Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nymphaea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nymphaea odorata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nymphaea odorata ssp. odorata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nymphaea odorata ssp. tuberosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nymphoides";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nymphoides aquatica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nymphoides cordata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nymphoides peltata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Nyssa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nyssa biflora";"Perennial";"Spring and Summer";"Green";4,5;5,7;40;60;"Intolerant";-18
"Nyssa sylvatica";"Perennial";"Spring and Summer";"Green";4,5;6;40;60;"Tolerant";-18
"Obolaria";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Obolaria virginica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oclemena";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oclemena acuminata";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oclemena nemoralis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenanthe";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oenanthe aquatica";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera argillicola";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera biennis";"Biennial";"Spring, Summer, Fall";"Green";5;7;20;55;"Intolerant";-28
"Oenothera fruticosa";"Perennial";"Spring and Summer";"Green";4,5;7;32;62;"Tolerant";-33
"Oenothera fruticosa ssp. fruticosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera fruticosa ssp. glauca";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera grandis";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera humifusa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera laciniata";"Annual, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera nutans";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera oakesiana";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera parviflora";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera perennis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera villosa";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oenothera villosa ssp. villosa";"Biennial, Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oldenlandia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oldenlandia uniflora";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Oligoneuron";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oligoneuron rigidum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oligoneuron rigidum var. rigidum";"Perennial";"Spring and Summer";"Green";5;7,5;14;60;"Intermediate";-43
"Onoclea";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Onoclea sensibilis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ononis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ononis repens";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ononis spinosa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Onopordum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Onopordum acanthium";"Biennial";NA;NA;NA;NA;NA;NA;NA;NA
"Onosmodium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Onosmodium bejariense";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Onosmodium bejariense var. hispidissimum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Onosmodium virginianum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ophioglossum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ophioglossum pusillum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ophioglossum vulgatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oplismenus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oplismenus hirtellus";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Oplismenus hirtellus ssp. undulatifolius";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Opuntia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Opuntia humifusa";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Orbexilum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Orbexilum pedunculatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Orbexilum pedunculatum var. pedunculatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Orbexilum pedunculatum var. psoralioides";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Origanum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Origanum vulgare";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ornithogalum";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ornithogalum nutans";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Ornithogalum umbellatum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Orobanche";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Orobanche minor";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Orobanche uniflora";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Orontium";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Orontium aquaticum";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Orthilia";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Orthilia secunda";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Orthocarpus";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Orthocarpus bracteosus";"Annual";NA;NA;NA;NA;NA;NA;NA;NA
"Oryzopsis";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oryzopsis asperifolia";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Osmorhiza";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Osmorhiza claytonii";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
"Osmorhiza longistylis";"Perennial";NA;NA;NA;NA;NA;NA;NA;NA
